trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",25,0,-165.83709368932566,"{0: 12, 1: 2, 2: 9, 3: 0, 4: 2}",0
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",25,8,-87.6700849128185,"{0: 11, 1: 0, 2: 4, 3: 1, 4: 1}",1
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",30,0,-93.17280480719826,"{0: 23, 1: 0, 2: 4, 3: 2, 4: 1}",0
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",30,17,-20.513065478979435,"{0: 10, 1: 1, 2: 1, 3: 1, 4: 0}",1
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",20,4,-71.49125079607137,"{0: 8, 1: 1, 2: 6, 3: 1, 4: 0}",1
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",25,0,-166.66346943585097,"{0: 12, 1: 1, 2: 8, 3: 3, 4: 1}",0
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",20,0,-88.79084142977737,"{0: 13, 1: 1, 2: 4, 3: 1, 4: 1}",0
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",30,0,-173.14102752587425,"{0: 15, 1: 4, 2: 7, 3: 3, 4: 1}",0
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",30,0,-111.66196881858596,"{0: 22, 1: 0, 2: 6, 3: 0, 4: 2}",0
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",20,0,-35.36028345108864,"{0: 14, 1: 3, 2: 2, 3: 1, 4: 0}",0
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",20,2,-60.68122384336478,"{0: 12, 1: 3, 2: 2, 3: 0, 4: 1}",1
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",20,0,-136.68310842814836,"{0: 14, 1: 0, 2: 3, 3: 0, 4: 3}",0
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",25,0,-83.40189668551577,"{0: 19, 1: 0, 2: 4, 3: 1, 4: 1}",0
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",20,12,-11.315224484931619,"{0: 4, 1: 4, 2: 0, 3: 0, 4: 0}",1
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",30,16,-62.76888544403393,"{0: 9, 1: 1, 2: 3, 3: 0, 4: 1}",1
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",25,0,-34.90369093930508,"{0: 20, 1: 1, 2: 3, 3: 1, 4: 0}",0
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",30,0,-82.64925296313866,"{0: 25, 1: 1, 2: 1, 3: 1, 4: 2}",1
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",20,0,-86.33411640756637,"{0: 16, 1: 0, 2: 1, 3: 1, 4: 2}",0
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",20,0,-37.07971699890415,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 1}",0
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",25,0,-95.61894567960549,"{0: 21, 1: 1, 2: 0, 3: 0, 4: 3}",0
1,True,"{'a': 0, 'e': 0}",20,14,-2.821010688858505,"{0: 5, 1: 0, 2: 1, 3: 0, 4: 0}",1
2,True,"{'a': 0, 'e': 0}",20,0,-99.06952675428273,"{0: 15, 1: 0, 2: 2, 3: 1, 4: 2}",0
3,True,"{'a': 0, 'e': 0}",20,3,-28.623360700285804,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 1}",1
4,True,"{'a': 0, 'e': 0}",20,0,-40.22259903155648,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 1}",0
5,True,"{'a': 0, 'e': 0}",25,6,-19.234916080244222,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 1}",1
6,True,"{'a': 0, 'e': 0}",25,13,11.669248296556445,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
7,True,"{'a': 0, 'e': 0}",25,12,9.60979465329547,"{0: 12, 1: 1, 2: 0, 3: 0, 4: 0}",1
8,True,"{'a': 0, 'e': 0}",20,7,-7.902381775126095,"{0: 11, 1: 0, 2: 2, 3: 0, 4: 0}",1
9,True,"{'a': 0, 'e': 0}",25,17,5.861723110915422,"{0: 7, 1: 1, 2: 0, 3: 0, 4: 0}",1
10,True,"{'a': 0, 'e': 0}",20,14,12.366057927904333,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
11,True,"{'a': 0, 'e': 0}",25,11,23.024022406933756,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
12,True,"{'a': 0, 'e': 0}",20,4,15.590558006603112,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 0}",1
13,True,"{'a': 0, 'e': 0}",30,15,-37.180502348746636,"{0: 13, 1: 0, 2: 0, 3: 1, 4: 1}",1
14,True,"{'a': 0, 'e': 0}",20,2,5.312329804721887,"{0: 16, 1: 0, 2: 2, 3: 0, 4: 0}",1
15,True,"{'a': 0, 'e': 0}",25,3,-63.89147622050554,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 2}",1
16,True,"{'a': 0, 'e': 0}",20,2,-44.68051628749871,"{0: 15, 1: 1, 2: 0, 3: 1, 4: 1}",1
17,True,"{'a': 0, 'e': 0}",35,0,-54.13727134438035,"{0: 30, 1: 1, 2: 1, 3: 2, 4: 1}",0
18,True,"{'a': 0, 'e': 0}",35,1,-0.5606203771054903,"{0: 32, 1: 0, 2: 1, 3: 0, 4: 1}",1
19,True,"{'a': 0, 'e': 0}",20,8,-39.05601170546373,"{0: 10, 1: 0, 2: 0, 3: 1, 4: 1}",1
20,True,"{'a': 0, 'e': 0}",20,0,-29.712892893832187,"{0: 16, 1: 3, 2: 0, 3: 0, 4: 1}",0
