trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.98}",25,0,-110.88708449767505,"{0: 14, 1: 2, 2: 6, 3: 3, 4: 0}",0
2,False,"{'a': 0.5, 'e': 0.9603999999999999}",30,0,-257.82497959059936,"{0: 14, 1: 3, 2: 8, 3: 1, 4: 4}",0
3,False,"{'a': 0.5, 'e': 0.9411919999999999}",20,0,-36.69001917181481,"{0: 14, 1: 3, 2: 2, 3: 1, 4: 0}",0
4,False,"{'a': 0.5, 'e': 0.9223681599999999}",25,9,-73.38930973338925,"{0: 10, 1: 2, 2: 2, 3: 1, 4: 1}",1
5,False,"{'a': 0.5, 'e': 0.9039207967999999}",25,0,-75.34112888343816,"{0: 17, 1: 3, 2: 4, 3: 0, 4: 1}",0
6,False,"{'a': 0.5, 'e': 0.8858423808639999}",20,0,-46.68418868012346,"{0: 13, 1: 3, 2: 3, 3: 1, 4: 0}",0
7,False,"{'a': 0.5, 'e': 0.8681255332467199}",25,0,-49.78167063554354,"{0: 19, 1: 3, 2: 2, 3: 0, 4: 1}",0
8,False,"{'a': 0.5, 'e': 0.8507630225817855}",20,0,-128.6525270098758,"{0: 14, 1: 1, 2: 2, 3: 0, 4: 3}",0
9,False,"{'a': 0.5, 'e': 0.8337477621301498}",25,0,-101.28857443058249,"{0: 16, 1: 2, 2: 5, 3: 1, 4: 1}",0
10,False,"{'a': 0.5, 'e': 0.8170728068875467}",20,0,-40.631226329308795,"{0: 15, 1: 0, 2: 4, 3: 1, 4: 0}",0
11,False,"{'a': 0.5, 'e': 0.8007313507497958}",20,0,-105.42336811725427,"{0: 14, 1: 0, 2: 4, 3: 0, 4: 2}",0
12,False,"{'a': 0.5, 'e': 0.7847167237347998}",20,9,3.117859766802771,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
13,False,"{'a': 0.5, 'e': 0.7690223892601038}",20,0,-51.723621645586746,"{0: 15, 1: 2, 2: 2, 3: 0, 4: 1}",0
14,False,"{'a': 0.5, 'e': 0.7536419414749017}",25,2,-30.979767635832154,"{0: 20, 1: 0, 2: 2, 3: 0, 4: 1}",1
15,False,"{'a': 0.5, 'e': 0.7385691026454038}",25,3,-67.96834743148443,"{0: 18, 1: 0, 2: 1, 3: 2, 4: 1}",1
16,False,"{'a': 0.5, 'e': 0.7237977205924956}",25,0,-144.50838351550556,"{0: 13, 1: 1, 2: 8, 3: 2, 4: 1}",0
17,False,"{'a': 0.5, 'e': 0.7093217661806457}",30,0,-150.17466611550458,"{0: 18, 1: 1, 2: 9, 3: 0, 4: 2}",0
18,False,"{'a': 0.5, 'e': 0.6951353308570327}",20,0,-126.33020750178383,"{0: 13, 1: 0, 2: 4, 3: 1, 4: 2}",0
19,False,"{'a': 0.5, 'e': 0.6812326242398921}",20,0,-25.733018186329556,"{0: 17, 1: 0, 2: 1, 3: 2, 4: 0}",0
20,False,"{'a': 0.5, 'e': 0.6676079717550942}",35,0,-153.2020586266212,"{0: 22, 1: 5, 2: 5, 3: 1, 4: 2}",0
21,False,"{'a': 0.5, 'e': 0.6542558123199923}",20,0,-104.57464071163864,"{0: 13, 1: 2, 2: 3, 3: 0, 4: 2}",0
22,False,"{'a': 0.5, 'e': 0.6411706960735924}",25,0,-127.39842686130893,"{0: 14, 1: 4, 2: 5, 3: 0, 4: 2}",0
23,False,"{'a': 0.5, 'e': 0.6283472821521207}",30,0,-133.69822398455167,"{0: 17, 1: 5, 2: 5, 3: 2, 4: 1}",0
24,False,"{'a': 0.5, 'e': 0.6157803365090783}",20,0,-132.99328103229522,"{0: 14, 1: 2, 2: 0, 3: 1, 4: 3}",0
25,False,"{'a': 0.5, 'e': 0.6034647297788966}",25,0,-214.55581835262058,"{0: 16, 1: 1, 2: 1, 3: 3, 4: 4}",0
26,False,"{'a': 0.5, 'e': 0.5913954351833187}",30,0,-154.57335133535526,"{0: 20, 1: 3, 2: 2, 3: 3, 4: 2}",0
27,False,"{'a': 0.5, 'e': 0.5795675264796523}",25,0,-114.26821289672279,"{0: 17, 1: 2, 2: 2, 3: 3, 4: 1}",0
28,False,"{'a': 0.5, 'e': 0.5679761759500592}",20,9,-13.79778544703549,"{0: 8, 1: 1, 2: 2, 3: 0, 4: 0}",1
29,False,"{'a': 0.5, 'e': 0.5566166524310581}",20,0,-83.7624155098656,"{0: 14, 1: 0, 2: 4, 3: 1, 4: 1}",0
30,False,"{'a': 0.5, 'e': 0.5454843193824369}",25,0,-78.99014966877814,"{0: 20, 1: 1, 2: 2, 3: 0, 4: 2}",0
31,False,"{'a': 0.5, 'e': 0.5345746329947881}",25,0,-81.68133418334213,"{0: 18, 1: 3, 2: 1, 3: 2, 4: 1}",0
32,False,"{'a': 0.5, 'e': 0.5238831403348924}",25,0,-98.87516544751796,"{0: 18, 1: 1, 2: 2, 3: 3, 4: 1}",0
33,False,"{'a': 0.5, 'e': 0.5134054775281945}",25,13,-23.701858210308174,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 1}",1
34,False,"{'a': 0.5, 'e': 0.5031373679776306}",20,10,9.296092020422915,"{0: 9, 1: 1, 2: 0, 3: 0, 4: 0}",1
35,False,"{'a': 0.5, 'e': 0.493074620618078}",20,8,-22.704287510402477,"{0: 9, 1: 1, 2: 1, 3: 1, 4: 0}",1
36,False,"{'a': 0.5, 'e': 0.48321312820571644}",25,0,-45.03612055145675,"{0: 20, 1: 2, 2: 2, 3: 0, 4: 1}",0
37,False,"{'a': 0.5, 'e': 0.4735488656416021}",20,0,21.31029682415659,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
38,False,"{'a': 0.5, 'e': 0.46407788832877}",20,0,-136.14289823722245,"{0: 13, 1: 1, 2: 3, 3: 0, 4: 3}",0
39,False,"{'a': 0.5, 'e': 0.45479633056219465}",30,0,-129.72864842248305,"{0: 23, 1: 2, 2: 2, 3: 0, 4: 3}",0
40,False,"{'a': 0.5, 'e': 0.44570040395095073}",30,0,-186.91186077104464,"{0: 22, 1: 1, 2: 1, 3: 2, 4: 4}",0
41,False,"{'a': 0.5, 'e': 0.4367863958719317}",20,11,-21.721984083732107,"{0: 6, 1: 1, 2: 1, 3: 1, 4: 0}",1
42,False,"{'a': 0.5, 'e': 0.42805066795449304}",25,0,-147.87197140165998,"{0: 18, 1: 0, 2: 3, 3: 1, 4: 3}",0
43,False,"{'a': 0.5, 'e': 0.4194896545954032}",20,3,-17.465345497522772,"{0: 13, 1: 0, 2: 4, 3: 0, 4: 0}",1
44,False,"{'a': 0.5, 'e': 0.41109986150349515}",20,0,-187.648407398637,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 5}",1
45,False,"{'a': 0.5, 'e': 0.4028778642734252}",30,13,13.881932049150748,"{0: 15, 1: 1, 2: 1, 3: 0, 4: 0}",1
46,False,"{'a': 0.5, 'e': 0.39482030698795667}",35,6,-121.57347328269685,"{0: 22, 1: 2, 2: 2, 3: 0, 4: 3}",1
47,False,"{'a': 0.5, 'e': 0.38692390084819756}",20,0,-33.47493302621331,"{0: 13, 1: 4, 2: 3, 3: 0, 4: 0}",0
48,False,"{'a': 0.5, 'e': 0.3791854228312336}",25,2,-11.785397629336774,"{0: 19, 1: 1, 2: 3, 3: 0, 4: 0}",1
49,False,"{'a': 0.5, 'e': 0.3716017143746089}",25,0,-115.85535504779551,"{0: 20, 1: 0, 2: 2, 3: 0, 4: 3}",1
50,False,"{'a': 0.5, 'e': 0.36416968008711675}",25,1,-94.59117912190618,"{0: 19, 1: 0, 2: 2, 3: 1, 4: 2}",1
