trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 1, 'e': 10}",25,2,-25.620671317010235,"{0: 19, 1: 0, 2: 3, 3: 1, 4: 0}",1
2,False,"{'a': 1, 'e': 10}",25,0,-196.98137102488508,"{0: 13, 1: 4, 2: 3, 3: 2, 4: 3}",0
3,False,"{'a': 1, 'e': 10}",25,0,-105.13264802912907,"{0: 15, 1: 3, 2: 5, 3: 1, 4: 1}",0
4,False,"{'a': 1, 'e': 10}",30,0,-59.99007463830129,"{0: 23, 1: 1, 2: 4, 3: 2, 4: 0}",0
5,False,"{'a': 1, 'e': 10}",30,0,-148.90497533168238,"{0: 16, 1: 6, 2: 4, 3: 3, 4: 1}",0
6,False,"{'a': 1, 'e': 10}",20,0,-71.28130483640294,"{0: 14, 1: 3, 2: 1, 3: 1, 4: 1}",0
7,False,"{'a': 1, 'e': 10}",30,0,-127.33000553072998,"{0: 18, 1: 3, 2: 7, 3: 1, 4: 1}",0
8,False,"{'a': 1, 'e': 10}",35,0,-89.23154635052342,"{0: 22, 1: 6, 2: 6, 3: 1, 4: 0}",0
9,False,"{'a': 1, 'e': 10}",20,0,-99.81094490444836,"{0: 13, 1: 2, 2: 3, 3: 0, 4: 2}",0
10,False,"{'a': 1, 'e': 10}",20,0,-68.59752368454804,"{0: 11, 1: 2, 2: 7, 3: 0, 4: 0}",0
11,False,"{'a': 1, 'e': 10}",25,2,-28.152379797254074,"{0: 18, 1: 1, 2: 3, 3: 1, 4: 0}",1
12,False,"{'a': 1, 'e': 10}",20,0,-53.791637278095806,"{0: 14, 1: 0, 2: 5, 3: 1, 4: 0}",0
13,False,"{'a': 1, 'e': 10}",20,0,-60.73487362933,"{0: 12, 1: 2, 2: 5, 3: 1, 4: 0}",0
14,False,"{'a': 1, 'e': 10}",20,3,-102.19271637711657,"{0: 11, 1: 1, 2: 3, 3: 0, 4: 2}",1
15,False,"{'a': 1, 'e': 10}",25,0,-137.4049206529912,"{0: 12, 1: 2, 2: 10, 3: 0, 4: 1}",0
16,False,"{'a': 1, 'e': 10}",25,0,-127.49784285824256,"{0: 16, 1: 1, 2: 6, 3: 0, 4: 2}",0
17,False,"{'a': 1, 'e': 10}",20,0,-128.37545752283444,"{0: 10, 1: 2, 2: 5, 3: 2, 4: 1}",0
18,False,"{'a': 1, 'e': 10}",20,0,-38.85468644263375,"{0: 14, 1: 2, 2: 4, 3: 0, 4: 0}",0
19,False,"{'a': 1, 'e': 10}",20,0,-129.5141106035409,"{0: 10, 1: 3, 2: 5, 3: 0, 4: 2}",0
20,False,"{'a': 1, 'e': 10}",30,0,-27.762554319026467,"{0: 24, 1: 3, 2: 2, 3: 1, 4: 0}",0
1,True,"{'a': 1, 'e': 10}",30,2,-110.01102989383926,"{0: 19, 1: 2, 2: 5, 3: 0, 4: 2}",1
2,True,"{'a': 1, 'e': 10}",20,0,-177.621732561966,"{0: 9, 1: 3, 2: 4, 3: 1, 4: 3}",0
3,True,"{'a': 1, 'e': 10}",30,0,-128.7972788019429,"{0: 17, 1: 3, 2: 7, 3: 3, 4: 0}",0
4,True,"{'a': 1, 'e': 10}",20,4,-59.7390828226958,"{0: 12, 1: 1, 2: 1, 3: 1, 4: 1}",1
5,True,"{'a': 1, 'e': 10}",25,0,-193.77897741531865,"{0: 14, 1: 0, 2: 7, 3: 1, 4: 3}",0
6,True,"{'a': 1, 'e': 10}",25,0,-63.54694583841119,"{0: 17, 1: 0, 2: 7, 3: 1, 4: 0}",0
7,True,"{'a': 1, 'e': 10}",25,0,-158.10682242131287,"{0: 13, 1: 1, 2: 9, 3: 0, 4: 2}",0
8,True,"{'a': 1, 'e': 10}",25,0,-110.89837521842243,"{0: 17, 1: 2, 2: 4, 3: 0, 4: 2}",0
9,True,"{'a': 1, 'e': 10}",20,0,-135.2836982430325,"{0: 8, 1: 4, 2: 6, 3: 1, 4: 1}",0
10,True,"{'a': 1, 'e': 10}",20,0,-57.25637964588286,"{0: 13, 1: 4, 2: 1, 3: 2, 4: 0}",0
